open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1719792000000,62766.10,63800.00,62562.00,63416.40,49753.740,1719806399999,3152303898.86840,551437,26158.497,1657478003.63560,0
1719806400000,63416.50,63453.70,63200.00,63265.50,13560.880,1719820799999,858837565.55060,189032,6829.116,432515122.64990,0
1719820800000,63265.50,63302.70,62580.00,62657.90,26439.402,1719835199999,1662795895.39460,322953,12454.801,783266579.12700,0
1719835200000,62657.90,63182.50,62502.20,63119.90,40119.806,1719849599999,2520252622.96380,449822,21711.604,1363982283.16330,0
1719849600000,63120.00,63849.00,62947.40,63207.60,46436.922,1719863999999,2943950720.93140,490556,23176.123,1469468407.55840,0
1719864000000,63207.20,63421.60,62780.00,62883.60,17627.188,1719878399999,1111618934.84130,202356,8526.489,537743077.53560,0
1719878400000,62883.70,63284.00,62765.70,63115.70,14302.825,1719892799999,900989127.64170,194040,7608.798,479363414.01680,0
1719892800000,63118.00,63227.00,62566.00,62617.90,19063.833,1719907199999,1197865875.47260,212062,9200.782,578090701.00310,0
1719907200000,62617.90,62861.10,62387.00,62823.30,26473.226,1719921599999,1658775752.23810,274405,13840.753,867355211.07300,0
1719921600000,62823.30,63167.40,61840.00,61945.00,63689.490,1719935999999,3974240006.06200,626479,30245.916,1887855268.83840,0
1719936000000,61945.00,62362.80,61800.00,61944.00,29330.932,1719950399999,1820408824.13290,314026,15072.009,935377782.04310,0
1719950400000,61944.00,62176.40,61870.80,62123.60,10240.937,1719964799999,635329066.75820,143075,5212.974,323404209.94180,0
1719964800000,62123.50,62278.20,60600.00,60983.50,55575.397,1719979199999,3410826286.21910,551497,24725.334,1517798127.97950,0
1719979200000,60983.40,61179.40,60802.00,60859.90,23185.153,1719993599999,1413520869.23920,235732,11658.607,710801865.73220,0
1719993600000,60859.80,60987.30,59515.10,60384.90,81025.116,1720007999999,4889257151.53520,747476,38882.003,2346751425.04150,0
1720008000000,60384.90,60700.00,59756.50,60176.10,66329.351,1720022399999,3996168545.77910,621714,32177.397,1938946745.64290,0
1720022400000,60176.10,60653.00,59645.60,59661.20,38404.269,1720036799999,2312146105.79450,410076,18366.485,1106057916.15550,0
1720036800000,59661.20,60361.70,59299.30,60208.00,30783.979,1720051199999,1843425413.44650,341480,15486.895,927630145.87770,0
1720051200000,60208.00,60500.00,57611.00,59092.40,99276.085,1720065599999,5862055362.26810,961711,44372.706,2620927626.05420,0
1720065600000,59092.40,59131.70,58086.40,58214.00,46231.188,1720079999999,2713378030.75620,494155,21533.935,1264091914.94330,0
1720080000000,58214.00,58484.50,56917.50,57748.40,97863.329,1720094399999,5643028524.73341,1001772,46614.170,2688819165.33087,0
1720094400000,57748.40,58350.00,56750.00,58137.60,110723.819,1720108799999,6349182345.69604,1071179,57125.205,3277149999.06190,0
1720108800000,58137.50,58653.40,57735.70,58267.00,42553.649,1720123199999,2475883643.24530,506776,20844.726,1213143723.23520,0
1720123200000,58266.90,58800.00,56560.00,57045.90,49008.207,1720137599999,2830682134.72809,579332,21918.689,1267111784.06657,0
1720137600000,57045.90,57533.40,54918.30,55214.60,163719.762,1720151999999,9220709117.55875,1696464,77312.134,4355592899.47596,0
1720152000000,55214.70,55350.00,53329.50,54389.40,128635.582,1720166399999,6986310098.63902,1242486,61804.375,3356717763.21485,0
1720166400000,54389.40,55629.70,53870.40,55458.90,78963.666,1720180799999,4325133419.81866,879774,40073.138,2195592026.21807,0
1720180800000,55459.00,56663.50,54822.90,56637.50,106044.317,1720195199999,5907089998.67639,1148228,54283.367,3025110578.78717,0
1720195200000,56637.50,57000.00,55781.80,56446.20,83444.612,1720209599999,4710685312.23811,911376,39838.122,2249637343.49913,0
1720209600000,56446.10,56847.00,56300.00,56604.90,16385.656,1720223999999,926725866.46995,307152,8045.017,454985925.16529,0
1720224000000,56604.90,56975.00,56157.30,56388.30,30655.656,1720238399999,1730963295.85758,429028,14729.121,831798272.37543,0
1720238400000,56388.40,56660.00,56000.00,56571.10,26523.010,1720252799999,1494084675.22845,312813,13829.779,778999818.70497,0
1720252800000,56571.10,56850.00,56412.50,56713.20,17676.392,1720267199999,1001323365.02123,247911,9094.601,515214700.15083,0
1720267200000,56713.20,57420.00,56475.70,57285.40,38884.253,1720281599999,2215826649.02832,462214,20021.449,1141163778.84262,0
1720281600000,57285.40,58089.90,57150.00,57834.80,37978.044,1720295999999,2193698207.70110,448663,20703.124,1195919622.00670,0
1720296000000,57834.90,58472.00,57792.20,58216.00,26862.667,1720310399999,1561865148.56010,323961,15110.518,878721961.77540,0
1720310400000,58216.00,58443.00,57820.00,57943.90,38936.027,1720324799999,2261202379.94670,415398,19117.402,1110344448.02630,0
1720324800000,57944.00,57990.30,57041.70,57344.40,37722.788,1720339199999,2171485669.37617,417548,17631.937,1014971948.13860,0
1720339200000,57344.50,57899.90,57331.20,57436.90,23278.542,1720353599999,1339977988.14270,324292,11935.686,687194977.73850,0
1720353600000,57436.90,57600.00,56555.10,56806.20,42475.284,1720367999999,2418093906.33942,529036,20994.428,1195197850.30348,0
1720368000000,56806.20,57372.20,56723.00,57133.90,22235.384,1720382399999,1268974999.38589,317313,11470.185,654636337.42565,0
1720382400000,57133.90,57301.80,55688.00,55830.90,45713.956,1720396799999,2578088287.90572,532589,20432.992,1152504479.85245,0
1720396800000,55831.00,55999.00,54243.10,55136.60,97328.846,1720411199999,5355722205.88557,1059024,48745.822,2682562715.48040,0
1720411200000,55136.60,55878.00,54935.30,55828.40,40128.204,1720425599999,2227918524.00172,514621,20457.603,1136069387.11979,0
1720425600000,55828.40,58200.00,55715.20,57137.30,124398.512,1720439999999,7112475019.44076,1210699,66214.800,3783987261.70938,0
1720440000000,57137.30,57629.30,54890.00,55736.80,131119.632,1720454399999,7380499465.48954,1393434,63621.172,3581597612.08008,0
1720454400000,55736.80,56550.00,55400.50,56462.30,44260.458,1720468799999,2479944449.32346,589422,22286.170,1248898791.60128,0
1720468800000,56462.90,56955.00,56175.40,56686.40,26871.305,1720483199999,1520375785.26847,350056,13272.474,751183692.77603,0
1720483200000,56686.40,57350.00,56256.20,57139.50,45966.233,1720497599999,2610904223.60204,578662,23549.769,1338059223.10324,0
1720497600000,57139.50,57744.80,57000.00,57102.50,36022.582,1720511999999,2063791718.22448,491683,17252.243,988778252.01579,0
1720512000000,57102.50,57899.90,57000.00,57407.10,42043.643,1720526399999,2416915960.95131,499152,21938.618,1261175093.88688,0
1720526400000,57407.10,58159.60,56862.90,57445.30,74279.844,1720540799999,4262655167.95229,856593,37679.753,2162965371.36510,0
1720540800000,57445.30,58290.60,57318.30,57837.70,40891.309,1720555199999,2361667143.86580,521167,20740.739,1198285676.41160,0
1720555200000,57837.70,58256.00,57684.60,58023.20,18033.437,1720569599999,1044539879.76520,275413,9328.598,540359735.78020,0
1720569600000,58023.10,58190.00,57315.90,58157.70,27261.073,1720583999999,1574279169.11340,377540,13462.555,777544396.86090,0
1720584000000,58157.60,59449.60,58153.30,58948.10,69642.360,1720598399999,4107094471.16450,780196,36820.108,2171205624.35170,0
1720598400000,58948.00,59013.90,58288.00,58469.40,39133.753,1720612799999,2292758245.18280,441882,18727.448,1097334381.57680,0
1720612800000,58469.40,58544.50,57416.50,57658.00,68439.925,1720627199999,3960631365.23920,808240,31873.775,1844591983.98490,0
1720627200000,57658.10,57995.00,57333.00,57374.10,26039.130,1720641599999,1500510739.79830,394268,12856.719,741016968.19060,0
1720641600000,57374.80,57860.80,57125.00,57707.00,23732.696,1720655999999,1364392748.44520,295384,12663.923,728216878.30270,0
1720656000000,57707.00,58380.00,57030.00,57540.50,43339.762,1720670399999,2501719184.98650,576379,22123.527,1277344788.93049,0
1720670400000,57540.40,58288.60,57464.20,58168.10,25661.286,1720684799999,1486025240.33160,363817,13092.703,758270278.75510,0
1720684800000,58168.20,58887.00,58024.00,58754.10,39948.267,1720699199999,2333593323.70710,476305,21781.648,1272967786.47660,0
1720699200000,58754.00,59780.00,57242.00,57382.80,131206.798,1720713599999,7668089604.41310,1329194,62574.794,3659674834.52350,0
