open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2024-01-01 00:00:00+00:00,42283.58,42775.0,42230.08,42330.49,3948.08335,2024-01-01 03:59:59.999000+00:00,167818570.5692817,166013,2040.25881,86727075.8435333
2024-01-01 04:00:00+00:00,42330.5,42500.0,42180.77,42492.46,2706.9988,2024-01-01 07:59:59.999000+00:00,114643199.9045516,128552,1385.79272,58687457.6152961
2024-01-01 08:00:00+00:00,42492.46,42762.39,42452.58,42690.2,2948.80274,2024-01-01 11:59:59.999000+00:00,125745887.2679069,137484,1523.25695,64959471.6322154
2024-01-01 12:00:00+00:00,42690.21,42847.07,42580.0,42783.05,2936.44406,2024-01-01 15:59:59.999000+00:00,125358722.1795002,148756,1496.35093,63877513.4315076
2024-01-01 16:00:00+00:00,42783.05,43550.0,42664.42,43517.99,5686.97164,2024-01-01 19:59:59.999000+00:00,244970557.190949,242235,3016.44908,129952006.4310873
2024-01-01 20:00:00+00:00,43517.98,44184.1,43361.6,44179.55,8946.99844,2024-01-01 23:59:59.999000+00:00,391458744.915812,291583,4869.62331,213148569.60687968
2024-01-02 00:00:00+00:00,44179.55,45500.0,44148.34,45402.38,17093.28659,2024-01-02 03:59:59.999000+00:00,767967116.4971478,538797,9741.98843,437556220.24348474
2024-01-02 04:00:00+00:00,45402.38,45643.75,45121.96,45455.53,8388.42302,2024-01-02 07:59:59.999000+00:00,380172685.01871634,272747,4152.58359,188207525.3028926
2024-01-02 08:00:00+00:00,45455.52,45879.63,45200.0,45433.99,10027.39458,2024-01-02 11:59:59.999000+00:00,457314275.47629887,345836,4898.05573,223402983.80690992
2024-01-02 12:00:00+00:00,45433.99,45800.0,44833.33,45184.82,13236.12915,2024-01-02 15:59:59.999000+00:00,600137218.9403845,434612,6634.97873,300863243.6363377
2024-01-02 16:00:00+00:00,45184.83,45399.84,44790.96,45039.49,9745.60445,2024-01-02 19:59:59.999000+00:00,439524931.7250588,382856,5014.5553,226181160.1708361
2024-01-02 20:00:00+00:00,45039.49,45297.26,44600.0,44946.91,6655.56882,2024-01-02 23:59:59.999000+00:00,299215594.1654698,272684,3374.98269,151752991.0771238
2024-01-03 00:00:00+00:00,44946.91,45410.91,44862.11,45262.69,4750.68596,2024-01-03 03:59:59.999000+00:00,214685701.8647519,192132,2111.46135,95408638.3634707
2024-01-03 04:00:00+00:00,45262.7,45384.84,44940.93,45011.77,4691.11517,2024-01-03 07:59:59.999000+00:00,212059728.4882941,177168,2193.42521,99152269.402909
2024-01-03 08:00:00+00:00,45011.77,45500.0,43500.0,43702.88,13237.52778,2024-01-03 11:59:59.999000+00:00,591986412.9700865,467869,5794.82559,259196319.69779888
2024-01-03 12:00:00+00:00,43702.89,43716.0,40750.0,43000.01,35484.1521,2024-01-03 15:59:59.999000+00:00,1501608148.731566,1070151,17330.18951,733627108.6087366
2024-01-03 16:00:00+00:00,43000.01,43567.92,42000.0,42596.67,16895.34192,2024-01-03 19:59:59.999000+00:00,724424429.2885025,541788,8556.20714,366975637.215916
2024-01-03 20:00:00+00:00,42596.66,42966.27,42518.7,42845.23,6135.7288,2024-01-03 23:59:59.999000+00:00,262340142.4010314,208933,3117.88282,133305229.6624832
2024-01-04 00:00:00+00:00,42845.23,43220.56,42613.77,43102.8,5488.13855,2024-01-04 03:59:59.999000+00:00,235508699.5170956,202297,2617.70788,112325511.5267103
2024-01-04 04:00:00+00:00,43102.79,43273.08,42756.97,42763.08,5443.39629,2024-01-04 07:59:59.999000+00:00,234500564.01194513,229597,2412.51533,103944751.9544716
2024-01-04 08:00:00+00:00,42763.08,43233.81,42616.28,43176.32,6746.40949,2024-01-04 11:59:59.999000+00:00,289821653.7323238,291681,3149.03678,135305312.5402932
2024-01-04 12:00:00+00:00,43176.33,44329.99,43097.06,44051.1,11599.01023,2024-01-04 15:59:59.999000+00:00,506197358.73971754,438640,6024.98162,262922672.56406233
2024-01-04 16:00:00+00:00,44051.1,44437.5,43777.86,43956.48,9399.52176,2024-01-04 19:59:59.999000+00:00,413991311.9048287,334627,4515.48788,198903397.110467
2024-01-04 20:00:00+00:00,43956.48,44729.58,43890.9,44151.1,9361.58702,2024-01-04 23:59:59.999000+00:00,415075771.5877241,323102,4886.1711,216673622.1430086
2024-01-05 00:00:00+00:00,44151.1,44284.0,42450.0,43465.21,11721.50264,2024-01-05 03:59:59.999000+00:00,510733655.15033966,420972,5577.45743,243020776.3115649
2024-01-05 04:00:00+00:00,43465.21,43926.0,43187.89,43777.47,4949.61031,2024-01-05 07:59:59.999000+00:00,215887954.1115983,246256,2508.13192,109415711.9890339
2024-01-05 08:00:00+00:00,43777.48,44324.8,43433.0,43771.34,7055.63723,2024-01-05 11:59:59.999000+00:00,309990253.9791087,336389,3527.53808,154984816.7978611
2024-01-05 12:00:00+00:00,43771.34,44110.07,43100.0,43500.01,10044.2804,2024-01-05 15:59:59.999000+00:00,439370834.6795265,478180,5005.38678,218999503.3612772
2024-01-05 16:00:00+00:00,43500.01,43808.07,43100.46,43600.0,7460.07613,2024-01-05 19:59:59.999000+00:00,324206822.25417554,308961,3806.09627,165415535.4760744
2024-01-05 20:00:00+00:00,43600.0,44357.46,43580.51,44145.11,6844.14656,2024-01-05 23:59:59.999000+00:00,300764404.1939668,274087,3590.45378,157818675.2041979
2024-01-06 00:00:00+00:00,44145.12,44214.42,43812.5,43931.1,3123.46193,2024-01-06 03:59:59.999000+00:00,137401026.7589997,154177,1435.13702,63128996.2451396
2024-01-06 04:00:00+00:00,43931.1,43971.1,43397.05,43653.2,4242.79756,2024-01-06 07:59:59.999000+00:00,185157986.33553088,200745,2082.44667,90875447.0906065
2024-01-06 08:00:00+00:00,43653.2,43771.1,43551.28,43671.96,2449.54997,2024-01-06 11:59:59.999000+00:00,106967541.8273323,160976,1267.37865,55342826.0425976
2024-01-06 12:00:00+00:00,43671.97,43920.08,43527.27,43867.17,2610.13838,2024-01-06 15:59:59.999000+00:00,114246426.6292859,148168,1432.92742,62721705.1383492
2024-01-06 16:00:00+00:00,43867.17,44148.58,43828.5,43906.36,2971.24432,2024-01-06 19:59:59.999000+00:00,130557720.92634,162512,1653.76973,72673886.866113
2024-01-06 20:00:00+00:00,43906.35,43980.0,43611.19,43968.32,2437.86928,2024-01-06 23:59:59.999000+00:00,106882181.0141173,130064,1176.91124,51598925.9810717
2024-01-07 00:00:00+00:00,43968.32,44259.29,43833.4,43940.41,3397.43777,2024-01-07 03:59:59.999000+00:00,149621821.8720138,154901,1722.25916,75853060.3406572
2024-01-07 04:00:00+00:00,43940.41,44100.0,43843.52,44080.0,2347.11787,2024-01-07 07:59:59.999000+00:00,103252744.746186,122921,1195.6072,52596550.1425124
2024-01-07 08:00:00+00:00,44080.0,44167.81,43880.65,44061.1,3023.73501,2024-01-07 11:59:59.999000+00:00,133106227.9443645,150116,1499.58137,66011131.3557861
2024-01-07 12:00:00+00:00,44061.1,44480.59,43945.15,44047.57,5972.98911,2024-01-07 15:59:59.999000+00:00,264377730.13690272,264807,3055.66178,135276299.778947
2024-01-07 16:00:00+00:00,44047.57,44262.53,43700.0,44244.77,3590.89146,2024-01-07 19:59:59.999000+00:00,158125762.3571188,185104,1834.90207,80818219.6292582
2024-01-07 20:00:00+00:00,44244.77,44269.92,43572.09,43929.02,4691.67958,2024-01-07 23:59:59.999000+00:00,206150809.0675624,231410,2305.51189,101315746.2786654
2024-01-08 00:00:00+00:00,43929.01,43986.0,43175.0,43518.2,7371.99098,2024-01-08 03:59:59.999000+00:00,321147967.4025588,278129,3489.33673,152025382.3749091
2024-01-08 04:00:00+00:00,43518.2,44341.8,43430.79,43974.55,7157.43221,2024-01-08 07:59:59.999000+00:00,313769741.490419,289248,3743.34612,164113568.8224039
2024-01-08 08:00:00+00:00,43974.55,44688.0,43641.73,44635.99,6636.26767,2024-01-08 11:59:59.999000+00:00,292836484.5093753,272154,3690.96064,162951620.8979767
2024-01-08 12:00:00+00:00,44636.0,45333.0,44350.0,44963.04,17212.53878,2024-01-08 15:59:59.999000+00:00,773408314.3123498,592257,9193.64176,413144614.470663
