open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-05-02,96489.9,97895.68,96350.0,96887.14,14905.74811,2025-05-02 23:59:59.999999,1446387651.5840576,2698263,7440.33531,722022817.2246199,0.0
2025-05-03,96887.13,96935.67,95753.01,95856.42,9723.34838,2025-05-03 23:59:59.999999,935906144.9651498,1181239,3929.4049,378271292.4443145,0.0
2025-05-04,95856.42,96304.48,94151.38,94277.62,11036.38342,2025-05-04 23:59:59.999999,1053542403.8531588,1674726,4385.33486,418573470.8569623,0.0
2025-05-05,94277.61,95199.0,93514.1,94733.68,17251.18189,2025-05-05 23:59:59.999999,1626999380.1759968,2623300,8399.64855,792299650.3395202,0.0
2025-05-06,94733.68,96920.65,93377.0,96834.02,16122.64513,2025-05-06 23:59:59.999999,1526847764.5636685,2512960,7505.95734,711372483.6117135,0.0
2025-05-07,96834.02,97732.0,95784.61,97030.5,16644.83854,2025-05-07 23:59:59.999999,1611730124.5924544,2849139,8316.74471,805430612.4055353,0.0
2025-05-08,97030.5,104145.76,96876.29,103261.6,34962.02847,2025-05-08 23:59:59.999999,3508645830.5650144,4991147,18547.23009,1861334478.364427,0.0
2025-05-09,103261.61,104361.3,102315.14,102971.99,27617.39907,2025-05-09 23:59:59.999999,2847518447.981513,4406929,14525.20381,1497826622.326188,0.0
2025-05-10,102971.99,104984.57,102818.76,104809.53,15324.78611,2025-05-10 23:59:59.999999,1588386278.502415,2227845,8258.23478,856095289.5216646,0.0
2025-05-11,104809.53,104972.0,103345.06,104118.0,17987.12197,2025-05-11 23:59:59.999999,1873381777.2124257,3100176,9071.95578,944903285.107308,0.0
2025-05-12,104118.0,105819.45,100718.37,102791.32,31272.77792,2025-05-12 23:59:59.999999,3242348937.383069,5298407,16455.99797,1707457796.5881395,0.0
2025-05-13,102791.32,104976.25,101429.7,104103.72,21253.42409,2025-05-13 23:59:59.999999,2197244118.1523666,3703531,10705.97845,1106609664.707795,0.0
2025-05-14,104103.72,104356.95,102602.05,103507.82,16452.9081,2025-05-14 23:59:59.999999,1704708279.3884108,3025221,8026.03333,831783471.654361,0.0
2025-05-15,103507.83,104192.7,101383.07,103763.71,17998.98604,2025-05-15 23:59:59.999999,1850183474.5292037,4139477,8475.18036,871244345.564136,0.0
2025-05-16,103763.71,104550.33,103100.49,103463.9,15683.88024,2025-05-16 23:59:59.999999,1628832372.324148,3237442,7555.15801,784850382.1942747,0.0
2025-05-17,103463.9,103709.86,102612.5,103126.65,11250.89622,2025-05-17 23:59:59.999999,1160418362.950618,2568597,5335.11525,550379728.7338501,0.0
2025-05-18,103126.65,106660.0,103105.09,106454.26,21599.98726,2025-05-18 23:59:59.999999,2262214972.0749383,3193300,11664.89904,1221914552.0552013,0.0
2025-05-19,106454.27,107108.62,102000.0,105573.74,30260.03524,2025-05-19 23:59:59.999999,3150324504.595452,4881371,14208.309,1480452895.0841565,0.0
2025-05-20,105573.73,107320.0,104184.72,106849.99,23705.48275,2025-05-20 23:59:59.999999,2509102444.6695986,3878351,12350.46275,1307273652.3895233,0.0
2025-05-21,106850.0,110797.38,106100.01,109643.99,45531.040345,2025-05-21 23:59:59.999999,4914709514.320027,6835279,23661.649395,2555528481.098726,0.0
2025-05-22,109643.99,111980.0,109177.37,111696.21,31630.77313,2025-05-22 23:59:59.999999,3509432834.573417,5794216,16584.56293,1840083098.582786,0.0
2025-05-23,111696.22,111800.0,106800.0,107318.3,31737.72309,2025-05-23 23:59:59.999999,3469704446.3904047,5251192,14309.31652,1565622441.187517,0.0
2025-05-24,107318.3,109506.03,106875.41,107761.91,16782.53129,2025-05-24 23:59:59.999999,1819958819.7748585,2805418,8786.90747,953683093.321657,0.0
2025-05-25,107761.9,109299.99,106600.64,109004.19,17710.04695,2025-05-25 23:59:59.999999,1904366455.425858,3151168,7867.16712,846688135.0097136,0.0
2025-05-26,109004.2,110422.22,108670.58,109434.79,14649.11593,2025-05-26 23:59:59.999999,1605578282.1079032,2887863,7301.11288,800269021.1922797,0.0
