entry_time,exit_time,side,entry_price,exit_price,entry_funding,bars_held,pnl_pct,exit_reason
2024-01-31 03:00:00+00:00,2024-02-07 19:00:00+00:00,LONG,42918.0,43596.1,2.154e-05,42,1.4999897478913242,time_limit
2024-02-17 19:00:00+00:00,2024-02-20 15:00:00+00:00,SHORT,51428.8,52971.664000000004,0.00016041,17,-3.0800000000000027,stop_loss
2024-02-14 19:00:00+00:00,2024-02-21 19:00:00+00:00,SHORT,51707.5,51082.0,0.00012283,42,1.129689116665861,time_limit
2024-02-26 11:00:00+00:00,2024-02-26 15:00:00+00:00,SHORT,51126.4,52660.192,0.00021567,1,-3.0800000000000023,stop_loss
2024-02-23 19:00:00+00:00,2024-02-26 15:00:00+00:00,SHORT,51131.0,52664.93,0.00012991,15,-3.0800000000000005,stop_loss
2024-02-18 19:00:00+00:00,2024-02-26 15:00:00+00:00,SHORT,51791.5,52872.3,0.00017095,42,-2.1668289198034483,time_limit
2024-02-25 11:00:00+00:00,2024-02-26 19:00:00+00:00,SHORT,51672.3,53222.469000000005,0.00015012,8,-3.080000000000003,stop_loss
2024-02-22 19:00:00+00:00,2024-02-26 19:00:00+00:00,SHORT,51547.0,53093.41,0.00012557,22,-3.0800000000000067,stop_loss
2024-02-20 19:00:00+00:00,2024-02-26 19:00:00+00:00,SHORT,52131.3,53695.239,0.00020259,31,-3.079999999999997,stop_loss
2024-02-19 19:00:00+00:00,2024-02-26 19:00:00+00:00,SHORT,51851.6,53407.148,0.00013327,37,-3.080000000000005,stop_loss
2024-02-27 11:00:00+00:00,2024-02-28 07:00:00+00:00,SHORT,56581.4,58278.842000000004,0.00073521,5,-3.080000000000005,stop_loss
2024-02-28 11:00:00+00:00,2024-02-28 15:00:00+00:00,SHORT,58997.4,60767.322,0.00023682,1,-3.079999999999998,stop_loss
2024-03-02 19:00:00+00:00,2024-03-04 03:00:00+00:00,SHORT,62185.3,64050.859000000004,0.00056396,8,-3.080000000000002,stop_loss
2024-03-01 11:00:00+00:00,2024-03-04 03:00:00+00:00,SHORT,61927.7,63785.530999999995,0.00064824,15,-3.0799999999999974,stop_loss
2024-03-03 19:00:00+00:00,2024-03-04 11:00:00+00:00,SHORT,62797.1,64681.013,0.00044598,4,-3.080000000000001,stop_loss
2024-02-29 11:00:00+00:00,2024-03-04 11:00:00+00:00,SHORT,63019.8,64910.39400000001,0.00076337,23,-3.080000000000007,stop_loss
2024-03-04 19:00:00+00:00,2024-03-05 19:00:00+00:00,SHORT,67483.2,61510.2,0.0006362,6,8.771091827299239,profit_target
2024-03-07 19:00:00+00:00,2024-03-08 15:00:00+00:00,SHORT,67559.3,69586.079,0.00054217,5,-3.0799999999999925,stop_loss
2024-03-06 19:00:00+00:00,2024-03-08 15:00:00+00:00,SHORT,66803.5,68807.605,0.00049354,11,-3.079999999999994,stop_loss
2024-03-11 03:00:00+00:00,2024-03-11 07:00:00+00:00,SHORT,68657.4,70717.122,0.00035489,1,-3.080000000000013,stop_loss
2024-03-10 03:00:00+00:00,2024-03-11 07:00:00+00:00,SHORT,69208.1,71284.34300000001,0.0003101,7,-3.080000000000003,stop_loss
2024-03-08 19:00:00+00:00,2024-03-11 07:00:00+00:00,SHORT,68922.0,70989.66,0.00062913,14,-3.080000000000005,stop_loss
2024-03-14 11:00:00+00:00,2024-03-15 03:00:00+00:00,SHORT,72939.4,68266.0,0.00038753,4,6.3272366923775,profit_target
